feature,vif
EFG_D,237.23466544221932
EFG_O,152.1224725617161
2P_D,126.69853444819442
2P_O,74.03689515438838
3P_D,49.42919108060328
3P_O,35.07874118097853
ADJOE,11.614077552490878
ADJDE,9.620140833694883
TOR,2.8808810910901785
TORD,2.7559159358939507
ORB,2.721602330928795
DRB,2.088547211019347
FTRD,1.6983917459530387
FTR,1.406331868335808
ADJ_T,1.1224956819149572
